timestamp, memory.used [MiB]
2026/05/29 03:50:43.457, 2844 MiB
2026/05/29 03:50:44.457, 2844 MiB
2026/05/29 03:50:45.458, 2840 MiB
2026/05/29 03:50:46.458, 2840 MiB
2026/05/29 03:50:47.458, 2844 MiB
2026/05/29 03:50:48.459, 2844 MiB
2026/05/29 03:50:49.459, 2844 MiB
2026/05/29 03:50:50.459, 2840 MiB
2026/05/29 03:50:51.460, 2840 MiB
2026/05/29 03:50:52.460, 2837 MiB
2026/05/29 03:50:53.460, 2837 MiB
2026/05/29 03:50:54.461, 2849 MiB
2026/05/29 03:50:55.462, 2849 MiB
2026/05/29 03:50:56.462, 2849 MiB
2026/05/29 03:50:57.462, 2849 MiB
2026/05/29 03:50:58.463, 2840 MiB
2026/05/29 03:50:59.463, 2844 MiB
2026/05/29 03:51:00.463, 2844 MiB
2026/05/29 03:51:01.465, 2844 MiB
2026/05/29 03:51:02.465, 2844 MiB
2026/05/29 03:51:03.465, 2840 MiB
2026/05/29 03:51:04.466, 2844 MiB
2026/05/29 03:51:05.466, 2844 MiB
2026/05/29 03:51:06.466, 2844 MiB
2026/05/29 03:51:07.467, 2844 MiB
2026/05/29 03:51:08.467, 2840 MiB
2026/05/29 03:51:09.467, 2844 MiB
2026/05/29 03:51:10.468, 2844 MiB
2026/05/29 03:51:11.468, 2844 MiB
2026/05/29 03:51:12.468, 2844 MiB
2026/05/29 03:51:13.469, 2840 MiB
2026/05/29 03:51:14.469, 2844 MiB
2026/05/29 03:51:15.469, 2844 MiB
2026/05/29 03:51:16.473, 2844 MiB
2026/05/29 03:51:17.473, 2844 MiB
2026/05/29 03:51:18.474, 2840 MiB
2026/05/29 03:51:19.474, 6504 MiB
2026/05/29 03:51:20.474, 6504 MiB
2026/05/29 03:51:21.475, 6504 MiB
2026/05/29 03:51:22.476, 9704 MiB
2026/05/29 03:51:23.476, 2860 MiB
2026/05/29 03:51:24.476, 2860 MiB
2026/05/29 03:51:25.477, 2857 MiB
2026/05/29 03:51:26.477, 2869 MiB
2026/05/29 03:51:27.477, 2869 MiB
2026/05/29 03:51:28.478, 2869 MiB
2026/05/29 03:51:29.478, 2869 MiB
2026/05/29 03:51:30.478, 2860 MiB
2026/05/29 03:51:31.479, 2864 MiB
2026/05/29 03:51:32.479, 2864 MiB
2026/05/29 03:51:33.479, 2864 MiB
2026/05/29 03:51:34.480, 2864 MiB
2026/05/29 03:51:35.480, 2860 MiB
2026/05/29 03:51:36.480, 2864 MiB
2026/05/29 03:51:37.480, 2864 MiB
2026/05/29 03:51:38.481, 2864 MiB
2026/05/29 03:51:39.482, 2864 MiB
2026/05/29 03:51:40.482, 2860 MiB
2026/05/29 03:51:41.483, 2864 MiB
2026/05/29 03:51:42.483, 2864 MiB
2026/05/29 03:51:43.483, 2864 MiB
2026/05/29 03:51:44.484, 2864 MiB
2026/05/29 03:51:45.484, 2860 MiB
2026/05/29 03:51:46.484, 2864 MiB
2026/05/29 03:51:47.485, 2864 MiB
2026/05/29 03:51:48.485, 2864 MiB
2026/05/29 03:51:49.486, 2864 MiB
2026/05/29 03:51:50.486, 2860 MiB
2026/05/29 03:51:51.486, 2857 MiB
2026/05/29 03:51:52.487, 2857 MiB
2026/05/29 03:51:53.487, 2869 MiB
2026/05/29 03:51:54.487, 2869 MiB
2026/05/29 03:51:55.488, 2869 MiB
2026/05/29 03:51:56.488, 2869 MiB
2026/05/29 03:51:57.488, 2860 MiB
2026/05/29 03:51:58.489, 2864 MiB
2026/05/29 03:51:59.489, 2864 MiB
2026/05/29 03:52:00.490, 2864 MiB
2026/05/29 03:52:01.500, 6265 MiB
2026/05/29 03:52:02.500, 6260 MiB
2026/05/29 03:52:03.500, 6264 MiB
2026/05/29 03:52:04.501, 6264 MiB
2026/05/29 03:52:05.501, 2844 MiB
2026/05/29 03:52:06.501, 2844 MiB
2026/05/29 03:52:07.502, 2840 MiB
2026/05/29 03:52:08.502, 2844 MiB
2026/05/29 03:52:09.502, 2844 MiB
2026/05/29 03:52:10.503, 2844 MiB
2026/05/29 03:52:11.503, 2844 MiB
2026/05/29 03:52:12.503, 2840 MiB
2026/05/29 03:52:13.504, 2844 MiB
2026/05/29 03:52:14.504, 2844 MiB
2026/05/29 03:52:15.504, 2844 MiB
2026/05/29 03:52:16.505, 2844 MiB
2026/05/29 03:52:17.505, 2840 MiB
